posts,date,time
,25-02-2023,11:25:02
"Уважаемые пациенты! 

По техническими причинам телефон кол-центра 241-33-53 для СПб ГБУЗ ""Городская поликлиника 49"" по адресу Ланская ул., д. 12
и поликлиническое отделение 63 СПб ""Городская поликлиника 49"" по адресу  
пос. Лисий нос, Морской пр., д. 3
НЕ РАБОТАЕТ! 

По всем вопросам просьба звонить: 
49 поликлиника- 8-966-878-49-92;             
63 поликлиника- 8-981-759-33-10.

Приносим извинения за доставленные неудобства!",25-02-2023,07:22:51
"На смену морозам в город пришло потепление с обильными осадками 

Коммунальные службы переведены на усиленный режим работы. По всему району на расчистку дворов и улиц вышли дворники и уборочная техника. 

Вот всего пара примеров с улиц нашего района 👇

#приморский #приморскийрайон #ДелаемПетербургЧище",24-02-2023,08:34:11
"«Всё лучшее — нашим парням!» 🎉 
 
Петербуржцы со всей страной поздравляют наших бойцов с Днем Защитника Отечества. Чтобы подбодрить своих героев — они от всего сердца передают слова поддержки и благодарности. 
 
Мы знаем, что вы сегодня на боевом посту, ведь в ваших руках — будущее наших детей. Мы ждём вас домой и знаем, что вы обязательно вернетесь 💫 
 
#нашимгероям",23-02-2023,11:47:21
,23-02-2023,11:22:14
"В феврале глава администрации [id670981348|Алексей Никоноров] подвел итоги 22 года и поделился планами на 2023 год

А мы подготовили для вас фильм с самыми яркими и запоминающимися событиями 2022 года!👇🏻 
 
#приморский #приморскийрайон #итогигода",22-02-2023,15:12:00
"☀Масленица состоится на Долгом озере

[club171596754|Приморский культурный центр] приглашает проводить зиму и отпраздновать приход весны! 

26 февраля в 14:00 в парке «Озеро Долгое» состоится традиционное масленичное гулянье с большой развлекательной программой, сжиганием чучела и угощением блинами! 
 
🎪 Большой праздничный концерт на сцене 
🥞 Горячие блины для гостей праздника 
🤼‍♂ Народные масленичные забавы 
🧵Творческие мастер-классы 
 
Гостей праздника ждёт насыщенная программа с задорными песнями и танцами, театрализованными представлениями и дружными хороводами. Также можно будет посоревноваться в перетягивании каната, хождении на ходулях, устроить массовый забег на гигантских лыжах или даже принять участие в богатырских боях мешками. В шатре мастер-классов можно будет смастерить куклу или научиться плести из лыка. А тем, кто будет принимать участие в активностях будут вручать жетончики, которые можно будет обменять на горячие блины! 
 
Праздник продлится до 18:00, сжигание чучела запланировано на 17:00! Вход свободный!",22-02-2023,11:48:21
"Продолжаем рассказывать о наших работниках ЖКХ

Василий Соловьев не первый год пилотирует трактор. Признаётся, решил поменять работу именно из-за обновления парка. Во дворах очень сложно перемещаться среди припаркованных машин. Новая техника более приспособлена к лавированию.

Небольшой видеосюжет о рабочем процессе Василия.

#приморский #приморскийрайон #ЛицаЖКХ #ДелаемПетербургЧище",22-02-2023,10:59:50
"С февраля маткапитал вырос на 62 500 тысяч рублей. И теперь его также смогут получать жителей новых субъектов России — во время ежегодного Послания Федеральному собранию Владимир Путин предложил распространить эту меру поддержки на семьи из Донецкой и Луганской республик, Запорожской и Херсонской областей, в которых дети родились с 2007 года. 
 
Поддержка семей с детьми — одно из приоритетных направлений бюджетной политики. Это самый быстрорастущий раздел в структуре расходов бюджета. И в Петербурге родители с тремя и более детьми помимо федерального маткапитала получают ещё и региональный. 
 
При этом мера поддержки предоставляется в проактивном режиме: 
 
— сертификат на маткапитал появляется после рождения малыша на Госуслугах: gosuslugi.ru/10055 
— заявление на использование средств маткапитала можно также оформить не выходя из дома через портал Госуслуг: gosuslugi.ru/10061 
 
Как говорит Губернатор Петербурга Александр Беглов, «льготы ходят за человеком, а не человек за льготами».",21-02-2023,15:30:44
"Владимир Путин выступит с ежегодным Посланием Федеральному собранию. Церемония оглашения пройдёт 21 февраля в 12:00 по мск. Ожидается, что основной темой станет специальная военная операция на Украине. Также президент даст оценку происходящего на международной арене и уделит внимание вопросам дальнейшего развития России.",21-02-2023,07:20:38
"В районе прошел рейд по водным объектам 

Спасатели, полицейские, сотрудники администрации и дружинники проверили соблюдение постановления правительства города о запрете выхода на лед. 

Сейчас структура замерзших поверхностей водоёмов очень неоднородна. Сильные течения, ветра, перепады температуры делают выход на лед смертельно опасным. 

С гражданами проведено 8 профилактических бесед, выданы памятки с правилами безопасного поведения вблизи водных объектов. Запрет выхода на лёд введён постановлением губернатора Александра Беглова и будет действовать до 15 апреля. 

#приморский #приморскийрайон",20-02-2023,15:14:00
"Давно хотели утилизировать старый компьютер? 
 
🚛 Все праздничные дни экомобиль будет принимать опасные отходы от жителей Петербурга 
 
✅✅✅ Что примут в экомобили: 
💡 ртутные и светодиодные лампы 
📍 ртуть, ртутные термометры и прочие ртутные приборы 
🔋 батарейки и аккумуляторы 
🖥 старую бытовую, электронную, компьютерную и оргтехнику 
(кроме крупногабаритной) 
🕳 отработанные масла 
💊 лекарственные препараты с истекшим сроком годности 
🌬 старые противогазы и их комплектующие 
🧪 бытовые химические средства, лаки и краски с истекшим сроком годности 
 
Не можете найти экомобиль? 
📞 417-59-36 
(мобильная экологическая дежурная служба)

#приморский #приморскийрайон",20-02-2023,08:28:48
,19-02-2023,17:39:39
"В ночь на воскресенье в Петербурге выпал снег. Коммунальные службы района перевели на усиленный режим работы. 

На видео уборка проездов на Карельском пер., 3",19-02-2023,13:13:00
Вход в Удельный парк. Начало 20 века.,19-02-2023,09:23:00
"В Приморском районе в 2022 году ГУП «ТЭК СПб» обновило более 12 километров сетей.
 
Всего по итогам прошлого года объем инвестиций в реконструкцию теплосетей района составил 1,2 млрд. рублей.
 
Среди ключевых объектов в районе – строительство и реконструкция изношенных магистральных сетей от котельной Приморская. Работы ведутся в целях переключения на источник абонентов котельной Коломяжская и подключения к теплу новых абонентов в квартале Юнтолово. Для этого предприятие строит новую тепломагистраль по ул. Планерная на участке от Богатырского пр. до ул. Долгоозерная и по ул. Долгоозерная до пересечения с пр. Авиаконструкторов. Новая сеть также прокладывается по ул. Оптиков до пересечения с ул. Планерная. 

В течение года ТЭК вел работы как на магистральных сетях, от которых запитаны целые кварталы, так и на их ответвлениях – внутриквартальных трубопроводах. Реконструкция 600 метров тепломагистрали по ул. Савушкина обеспечила надежность и качество теплоснабжения 49 зданий, в том числе 32 жилых домов, 4 детских учреждений и 2 школ. 

Новые трубы протяженностью 1,7 км и диаметром 200-700 мм проложены по пр. Авиаконструкторов от Шуваловского пр. до Глухарской ул. Бесперебойное отопление и горячее водоснабжение после завершения работ получили 67 зданий, в том числе 58 жилых домов, 2 детских сада и 3 школы. 

Активные работы в 2022 году также велись в квартале 3 Черной речки, ограниченном Школьной ул., Карельским пер., ул. Савушкина, наб. Черной речки. Здесь завершается перекладка 3000 метров ветхих сетей. После завершения работ теплее станет в домах 12 000 горожан. 

Кроме того, новыми сетями обзавелся квартал 34а Озера Долгого. От Центрального теплопункта на пр. Авиаконструкторов, д.14, корп. 2 теплоэнергетики заменили 2,2 км тепловых сетей из запланированных 9,9 км. В результате повышена надежность теплоснабжения 18 зданий, в том числе 11 жилых домов, 2 детских садов и школы. 

Тепловые пункты в Приморском районе также не остались без внимания. В прошлом году стартовала модернизация Центрального теплопункта на Гаккелевской ул., д.27, лит. А, корп. 3. Новый автоматизированный теплопункт с погодным регулированием улучшит качество теплоснабжения 12 зданий, в том числе 9 жилых домов, детского учреждения и 2 школ. Работы завершатся в 2024 году. 

В текущем году Приморский район станет лидером по замене сетей в зоне предприятия. Здесь ТЭК обновит 36,4 км трубопроводов, выработавших свой срок. Объем инвестиций в теплоэнергетическую инфраструктуру района превысит 5 млрд рублей. 
 
#приморский #приморскийрайон",18-02-2023,08:07:00
Публикуем запись прямого эфира отчета главы Приморского района Санкт-Петербурга об итогах социального экономического развития Приморского района.,17-02-2023,16:07:00
"Почти треть средств ТЭК, выделенных на замену теплосетей, будет потрачено на Приморский район. 

Он станет лидером по замене сетей в текущем году: здесь предприятие смонтирует 36,4 километра новых трубопроводов, выработавших свой срок. Объем инвестиций в район составит более 5 млрд. рублей. 

Масштабные работы развернутся на проспекте Испытателей, где теплоэнергетики заменят 370-метровый участок трубы. От новой сети будут запитаны 126 зданий, в том числе 65 жилых домов – всего 63 000 жителей. В кварталах 31А и 34А Озера Долгое в этом году завершится перекладка 15 000 метров - теплее станет в домах 19 000 горожан. 

Наряду с реконструкцией приоритетом ТЭКа остается строительство сетей. Для переключения абонентов котельной Коломяжская на котельную Приморская и подключения к теплу новых абонентов в квартале Юнтолово предприятие строит порядка 3 км новых тепломагистралей по ул. Планерная и ул. Оптиков. 

В общей сложности в 2023 году ТЭК заменит 161 километр теплосетей по всему городу. Общий объем инвестиций впервые в истории предприятия составит 15,7 млрд. рублей. 

#приморский #приморскийрайон",17-02-2023,07:07:00
"16 февраля состоялся отчет главы администрации Приморского района Алексея Никонорова об итогах социально-экономического развития Приморского района за 2022 год и о планах работы администрации на 2023 год. 

Зал, где проходила встреча, был переполнен и не смог вместить всех желающих. Отчет транслировался на официальном сайте администрации Санкт-Петербурга www.gov.spb.ru. Его мог посмотреть каждый житель нашего района. 

В мероприятии приняли участие вице-губернатор Санкт-Петербург Анатолий Повелий, депутат Законодательного Собрания Санкт-Петербурга Николай Бондаренко, представители федеральных служб и ведомств, руководители муниципальных образований, предприятий и организаций района. 

Информация об основных показателях деятельности администрации Приморского района будет размещена на наших ресурсах в ближайшее время.

#приморский #приморскийрайон",17-02-2023,06:05:12
,16-02-2023,15:54:05
"Мы продолжаем серию материалов про работников ЖКХ нашего района. Сегодня речь пойдет о трактористе [club149277856|ЖКС №1] Приморского района Алексее Трепове. 

На районном этапе конкурса «Лучший по профессии» он занял первое место. Дальше испытания на городском этапе. 

Больше он расскажет о себе сам.

#приморский #приморскийрайон#снег 
#ДелаемПетербургЧище",16-02-2023,13:15:00
"Сегодня в 17:00 в нашей группе пройдет прямая трансляция отчета главы администрации [id670981348|Алексея Никонорова] об итогах социально-экономического развития Приморского района за 2022 год. 

Кроме того глава расскажет о планах работы администрации на 2023 год.

Уважаемые жители, по техническим причинам трансляция в Вконтакте не возможна. Трансляция ведется на официальном сайте администрации: https://www.gov.spb.ru/gov/terr/reg_primorsk/otchet/.

Запись трансляции будет опубликована позже.",16-02-2023,11:47:15
"В День памяти о россиянах, исполнявших служебный долг за пределами Отечества, на Серафимовском кладбище прошла панихида и церемония возложения цветов и венков к мемориалу погибшим воинам-интернационалистам 

В церемонии возложения венков и цветов приняли депутаты Законодательного Собрания Санкт-Петербурга, глава администрации Приморского района Никоноров Алексей Владимирович, представители командования Западного военного округа, общественных организаций воинов-интернационалистов, духовенства, родные и близкие военнослужащих, погибших в Афганистане. 
 
Памятник воинам-интернационалистам, погибшим в Афганистане, был открыт на Серафимовском кладбище в 1996 году.",16-02-2023,08:48:53
"Сертификаты на приобретение жилья станут доступны для большего числа молодых учёных — Правительство расширило госпрограмму по поручению Президента. 
 
Ранее получить выплату могли только молодые учёные из организаций, подведомственных Минобрнауки. Теперь субсидия доступна и для научно-педагогических работников научных организаций и вузов, причём вне зависимости от их ведомственной принадлежности. 
 
Прогнозируется, что в этом году количество претендентов увеличится до 3,4 тысяч человек, а средний размер выплаты составит около 3,5 млн рублей. 
 
Как получить выплату и какие есть требования — подробно расписали в инфографике. Также их можно посмотреть по ссылке: vk.cc/clBxvy (https://vk.cc/clBxvy)",15-02-2023,12:12:29
"В театр-фестивале «Балтийский Дом» прошел Специальный Олимпийский бал

Награды и премии в различных номинациях вручили лучшим спортсменам, тренерам, организаторам и специалистам адаптивной физической культуры.

Приморский район был удостоен награды в номинации «Лучший район Санкт-Петербурга в области АФК». Награду вручили заместителю главы администрации Приморского района - Волковой Инессе Евгеньевне.

«Восхищаюсь мужеством и упорством, несгибаемой силой воли ребят, их родителей и тренеров. Надеемся на дальнейшие спортивные успехи. Приморский район всячески поспособствует достижению высоких результатов наших спортсменов», — отметила в своем поздравлении Инесса Волкова.

#приморский #приморскийрайон",15-02-2023,10:10:00
"День защитника Отечества — особый праздник для жителей нашей страны. Но сегодня нашим защитникам важна поддержка — как никогда раньше. 
 
В рамках проекта «Всё для Победы!» Общероссийский Народный Фронт организовал сбор средств. 20 февраля с 12:00 до 16:00 на телеканале «Санкт-Петербург» состоится телемарафон, посвящённый празднику. Зрители увидят сюжеты из ДНР и ЛНР, Херсонсой и Запорожской областей, услышат мнения экспертов и обычных петербуржцев. 
 
На средства, которые соберут во время марафона, закупят технику и спецкомплекты для наших ребят. Поддержим парней и поможем им в их труде! Не пропусти!",14-02-2023,13:26:54
"🧐 Как не стать жертвой телефонных мошенников?
 
Готовые на все ради ваших денег, телефонные мошенники проявляют большую изобретательность и актерские способности.
 
❗ Мы собрали признаки, по которым можно распознать аферистов и подготовили советы, как сохранить деньги в безопасности.",13-02-2023,20:17:00
"Коломяги. Часовня Александра Невского, 1980-1989 гг.",12-02-2023,11:48:00
"Ещё один участник массового старта ""Лыжня России 2023"" Надежда Семеновна Орлова. Она педагог-воспитатель школы 657 Приморского района. Свой чехол для лыж она сшила из номеров предыдущих гонок. 

""Кататься на лыжах - мое хобби. Я сама себе сшила этот чехол из лыжных номеров. Самый дорогой и памятный из них - мой первый с Лыжни России 2010 года, которая проходила в Туутари-парке"", - поделилась Надежда Семеновна. 

На чехле целая история массового старта! 2010 и 2012 - Ленинградская область, 2013 - Удельный парк, с 2015 - Ольгино.

Сама Надежда Семеновна Орлова начала активно принимать участие в лыжных соревнованиях с 2005 года. Именно тогда она пробежала свою первую дистанцию 3 км. на Юнтоловской лыжне Приморского района.",11-02-2023,16:41:00
"11 февраля 2023 года на территории живописного заказника «Северное побережье Невской губы», п. Ольгино состоялась традиционная «Лыжня России 2023». 

По доброй зимней традиции массовый лыжный забег объединил любителей лыж разных возрастов и рода занятий - школьников, молодёжь, людей активного возраста и старшего поколения. 
В мероприятии приняли участие профессионалы и любители лыжного спорта в возрасте от 7 лет. Самому возрастному участнику забега - 73 года. Многие жители Приморского района приехали с семьями.

Поприветствовать спортсменов приехали глава администрации Приморского района Алексей Никоноров и депутат Государственной Думы Николай Цед. 

""Радостно видеть, что каждый год Лыжня России объединяет такое количество жителей Приморского района. Она дарит всем нам заряд бодрости, хорошего настроения и позволяет чувствовать себя в тонусе"", - отметил Алексей Никоноров. 

Любители забега прошли дистанции протяженностью 1, 3 и 5 километров. 

Всех участников ""Лыжни России"" ждала музыкальная программа, выступления артистов, полевая кухня и сувенирная продукция. 

Всего в массовом старте приняло участие более 700 человек.

#приморский #приморскийрайон #лыжняроссии",11-02-2023,14:45:00
"❄В ночь с пятницы на субботу в городе выпали обильные осадки. Введен режим повышенной готовности. Уборка снега в Приморском районе продолжается в выходные дни в усиленном режиме.

Привлечено 865 дворников и 68 единиц техники, в том числе задействована малая механизация. Прежде всего приводятся в порядок внутридворовые проезды, подходы к парадным, контейнерным площадкам.

#приморский #приморскийрайон#снег 
#ДелаемПетербургЧище",11-02-2023,12:32:30
Самым возрастным участником Лыжни России стал Алексей Павлович Самсонов. Ему 73 года! За любовь к спорту и участие в массовом старте его отметили ценными подарками.,11-02-2023,10:25:10
"Перед стартом ""Лыжня России 2023""!",11-02-2023,09:17:13
"10 февраля на месте дуэли А.С. Пушкина вспоминали его стихи. 

В сквере в Приморском районе прошла акция памяти «Нет истины, где нет любви», приуроченная к годовщине смерти великого русского поэта.

В митинге принял участие заместитель главы администрации Приморского района Сергей Шипулин. ""Феномен Пушкина в том, что он известен не только в нашей стране, но и далеко за её пределами. Его знают на всех континентах. Мы обязаны сохранять память о нём, перечитывать его произведения. Это наше культурное достояние, наша гордость"", - отметил он в своём выступлении перед поклонниками его творчества. 

Рядом со стелой была открыта временная выставка репродукций картин известных русских художников. На них изображены все периоды жизни поэта — от детства до последнего прижизненного портрета.
Почётным гостем мероприятия стала председатель Пушкинского общества Приморского района Маргарита Евгеньевна Танаева. 

Напомним, 10 февраля 186 лет назад на Черной речке произошла роковая дуэль, которая унесла жизнь поэта. Традиционно в этот день почтить память Пушкина на место его последней дуэли приходят горожане — почитатели его таланта, дети и молодёжь.

#приморский #приморскийрайон",11-02-2023,07:55:46
"Лыжня России состоится уже завтра. А пока можно познакомиться с маршрутом, который подготовил [club10277509|Центр спорта Приморского района] 

Живописнейшая трасса в Заказнике «Северное побережье Невской губы» уже готова и ждет завтра (11 февраля) всех любителей лыж для массового лыжного старта ""Лыжня России""",10-02-2023,17:47:56
"Агентство стратегических инициатив представило Президенту новый рейтинг субъектов по качеству жизни. Петербург стал лидером в направлении «возможности для работы и своего дела». 
 
Губернатор [https://vk.com/wall535438957_631681|поблагодарил] петербуржцев за высокую оценку во время опросов и вклад в развитие города. 
 
Северная столица сохраняет лидерство по числу самозанятых — их более 430 тысяч человек. И самый низкий в России уровень безработицы — всего 2 %. 
 
Несмотря на санкции и пандемию Петербург продолжает расширять субсидии, займы и гранты для бизнеса — получить их можно здесь: vk.cc/22tEae. 
 
Есть программа сопровождаемого трудоустройства, бесплатная переквалификация и Центр развития и поддержки предпринимательства, где помогут найти партнёров и заказчиков, проконсультируют по вопросам создания и развития бизнеса: vk.cc/clucxv.",10-02-2023,12:48:54
"#ЛицаЖКХ - наша постоянная рубрика возобновляет свою работу.

Диспетчер аварийной службы [club149277856|ЖКС №1 Приморского района] Николаенко Людмила Васильевна. Работает в коммунальной сфере с 1989 года.

Работа Людмилы Васильевны связана с приемом заявок по различным нарушениям и контроль их устранения. За сутки может поступать до 50 звонков, в летний период количество заявок снижается почти в 2 раза.

""Наша работа очень ответственная, необходимо всегда быть на связи. Всегда приятно, когда проблема жителя решается оперативно. Особенно ценно, когда решается вопрос пожилых жителей"", — рассказала о своей работе Людмила Васильевна. 

#приморский #приморскийрайон #лицаЖКХ",10-02-2023,07:15:27
